"city","longitude","latitude"
"北京市",116.4,39.9
"上海市",121.4692688,31.2381763
"天津市",117.2,39.12
"重庆市",106.548425,29.5549144
"香港",113.72,22.2
"澳门",113.5,22.2
"石家庄市",114.52,38.05
"唐山市",118.2,39.63
"秦皇岛市",119.6,39.93
"邯郸市",114.48,36.62
"邢台市",114.48,37.07
"保定市",115.47,38.87
"张家口市",114.88,40.82
"承德市",117.93,40.97
"沧州市",116.83,38.3
"廊坊市",116.7,39.52
"衡水市",115.68,37.73
"雄安新区",116.05,38.98
"太原市",112.55,37.87
"大同市",113.3,40.08
"阳泉市",113.57,37.85
"长治市",113.12,36.2
"晋城市",112.83,35.5
"朔州市",112.43,39.33
"晋中市",112.75,37.68
"运城市",110.98,35.02
"忻州市",112.73,38.42
"临汾市",111.52,36.08
"吕梁市",111.13,37.52
"呼和浩特市",111.73,40.83
"包头市",109.83,40.65
"乌海市",106.82,39.67
"赤峰市",118.92,42.27
"通辽市",122.27,43.62
"鄂尔多斯市",109.8,39.62
"呼伦贝尔市",119.77,49.22
"巴彦淖尔市",107.42,40.75
"乌兰察布市",113.12,40.98
"兴安盟",122.05,46.08
"锡林郭勒盟",116.07,43.95
"阿拉善盟",105.67,38.83
"沈阳市",123.43,41.8
"大连市",121.62,38.92
"鞍山市",122.98,41.1
"抚顺市",123.98,41.88
"本溪市",123.77,41.3
"丹东市",124.38,40.13
"锦州市",121.13,41.1
"营口市",122.23,40.67
"阜新市",121.67,42.02
"辽阳市",123.17,41.27
"盘锦市",122.07,41.12
"铁岭市",123.83,42.28
"朝阳市",120.45,41.57
"葫芦岛市",120.83,40.72
"长春市",116.2,43.9
"吉林市",126.55,43.83
"四平市",124.35,43.17
"辽源市",125.13,42.88
"通化市",125.93,41.73
"白山市",126.42,41.93
"松原市",124.82,45.13
"白城市",122.83,45.62
"延边朝鲜族自治州",129.5,42.88
"哈尔滨市",126.53,45.8
"齐齐哈尔市",123.95,47.33
"鸡西市",130.97,45.3
"鹤岗市",130.27,47.33
"双鸭山市",131.15,46.63
"大庆市",125.03,46.58
"伊春市",128.9,47.73
"佳木斯市",130.37,46.82
"七台河市",130.95,45.78
"牡丹江市",129.6,44.58
"黑河市",127.48,50.25
"绥化市",126.98,46.63
"大兴安岭地区",124.12,50.42
"南京市",118.78,32.07
"无锡市",120.3,31.57
"徐州市",117.18,34.27
"常州市",119.95,31.78
"苏州市",120.58,31.3
"南通市",120.88,31.98
"连云港市",119.22,34.6
"淮安市",119.02,33.62
"盐城市",120.15,33.35
"扬州市",119.4,32.4
"镇江市",119.45,32.2
"泰州市",119.92,32.45
"宿迁市",118.28,33.97
"杭州市",120.15,30.28
"宁波市",121.55,29.88
"温州市",120.7,28
"嘉兴市",120.75,30.75
"湖州市",120.08,30.9
"绍兴市",120.57,30
"金华市",119.65,29.08
"衢州市",118.87,28.93
"舟山市",122.2,30
"台州市",121.43,28.68
"丽水市",119.92,28.45
"合肥市",117.25,31.83
"芜湖市",118.38,31.33
"蚌埠市",117.38,32.92
"淮南市",117,32.63
"马鞍山市",118.5,31.7
"淮北市",116.8,33.95
"铜陵市",117.82,30.93
"安庆市",117.05,30.53
"黄山市",118.33,29.72
"滁州市",118.32,32.3
"阜阳市",115.82,32.9
"宿州市",116.98,33.63
"六安市",116.5,31.77
"亳州市",115.78,33.85
"池州市",117.48,30.67
"宣城市",118.75,30.95
"福州市",119.3,26.08
"厦门市",118.08,24.48
"莆田市",119,25.43
"三明市",117.62,26.27
"泉州市",118.67,24.88
"漳州市",117.65,24.52
"南平市",118.17,26.65
"龙岩市",117.03,25.1
"宁德市",119.52,26.67
"平潭综合实验区",119.79,25.51
"南昌市",115.85,28.68
"景德镇市",117.17,29.27
"萍乡市",113.85,27.63
"九江市",116,29.7
"新余市",114.92,27.82
"鹰潭市",117.07,28.27
"赣州市",114.93,25.83
"吉安市",114.98,27.12
"宜春市",114.38,27.8
"抚州市",116.35,28
"上饶市",117.97,28.45
"济南市",116.98,36.67
"青岛市",120.38,36.07
"淄博市",118.05,36.82
"枣庄市",117.32,34.82
"东营市",118.67,37.43
"烟台市",121.43,37.45
"潍坊市",119.15,36.7
"济宁市",116.58,35.42
"泰安市",117.08,36.2
"威海市",122.12,37.52
"日照市",119.52,35.42
"菏泽市",115.43,35.25
"临沂市",118.35,35.05
"德州市",116.3,37.45
"聊城市",115.98,36.45
"滨州市",117.97,37.38
"郑州市",113.62,34.75
"开封市",114.3,34.8
"洛阳市",112.45,34.62
"平顶山市",113.18,33.77
"安阳市",114.38,36.1
"鹤壁市",114.28,35.75
"新乡市",113.9,35.3
"焦作市",113.25,35.22
"濮阳市",115.03,35.77
"许昌市",113.85,34.03
"漯河市",114.02,33.58
"三门峡市",111.2,34.78
"南阳市",112.52,33
"商丘市",115.65,34.45
"信阳市",114.07,32.13
"周口市",114.65,33.62
"驻马店市",114.02,32.98
"武汉市",114.3,30.6
"黄石市",115.03,30.2
"十堰市",110.78,32.65
"宜昌市",111.28,30.7
"襄阳市",112.15,32.02
"鄂州市",114.88,30.4
"荆门市",112.2,31.03
"孝感市",113.92,30.93
"荆州市",112.23,30.33
"黄冈市",114.87,30.45
"咸宁市",114.32,29.85
"随州市",113.37,31.72
"恩施土家族苗族自治州",109.47,30.3
"神农架林区",110.67,31.75
"长沙市",112.93,28.23
"株洲市",113.13,27.83
"湘潭市",112.93,27.83
"衡阳市",112.57,26.9
"邵阳市",111.47,27.25
"岳阳市",113.12,29.37
"常德市",111.68,29.05
"张家界市",110.47,29.13
"益阳市",112.32,28.6
"郴州市",113.02,25.78
"永州市",111.62,26.43
"怀化市",110,27.57
"娄底市",112,27.73
"湘西土家族苗族自治州",109.73,28.32
"广州市",113.27,23.13
"韶关市",113.6,24.82
"深圳市",114.05,22.55
"珠海市",113.57,22.27
"汕头市",116.68,23.35
"佛山市",113.12,23.02
"江门市",113.08,22.58
"湛江市",110.35,21.27
"茂名市",110.92,21.67
"肇庆市",112.47,23.05
"惠州市",114.42,23.12
"梅州市",116.12,24.28
"汕尾市",115.37,22.78
"河源市",114.7,23.73
"阳江市",111.98,21.87
"清远市",113.03,23.7
"东莞市",113.75,23.05
"中山市",113.38,22.52
"潮州市",116.62,23.67
"揭阳市",116.37,23.55
"云浮市",112.03,22.92
"南宁市",108.37,22.82
"柳州市",109.42,24.33
"桂林市",110.28,25.28
"梧州市",111.27,23.48
"北海市",109.12,21.48
"防城港市",108.35,21.7
"钦州市",108.62,21.95
"贵港市",109.6,23.1
"玉林市",110.17,22.63
"百色市",106.62,23.9
"贺州市",111.55,24.42
"河池市",108.07,24.7
"来宾市",109.23,23.73
"崇左市",107.37,22.4
"海口市",110.32,20.03
"三亚市",109.5,18.25
"五指山市",109.52,18.78
"琼海市",110.47,19.25
"儋州市",109.57,19.52
"文昌市",110.8,19.55
