"company_code","company_name","board","listing_date","province","city","industry","strategic_sector","is_bse","is_high_tech","is_specialized_new","longitude","latitude"
"920045.BJ","蘅东光","北证","2025-12-31","广东省","深圳市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,FALSE,114.085947,22.547
"920185.BJ","贝特瑞","北证","2020-07-27","广东省","深圳市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,TRUE,114.085947,22.547
"920438.BJ","戈碧迦","北证","2024-03-25","湖北省","宜昌市","非金属矿物制品业","新材料",TRUE,FALSE,TRUE,111.290843,30.702636
"920186.BJ","中科仪","北证","2026-04-29","辽宁省","沈阳市","通用设备制造业","高端制造",TRUE,TRUE,FALSE,123.429096,41.796767
"920808.BJ","曙光数创","北证","2022-11-18","北京","北京市","通用设备制造业","高端制造",TRUE,TRUE,FALSE,116.405285,39.904989
"920982.BJ","锦波生物","北证","2023-07-20","山西省","太原市","医药制造业","生命健康",TRUE,TRUE,TRUE,112.549248,37.857014
"920116.BJ","星图测控","北证","2025-01-02","安徽省","合肥市","软件和信息技术服务业","数字经济",TRUE,TRUE,TRUE,117.283042,31.86119
"920125.BJ","鸿仕达","北证","2026-04-24","江苏省","昆山市","专用设备制造业","高端制造",TRUE,TRUE,FALSE,120.965808,31.328937
"920077.BJ","吉林碳谷","北证","2021-08-31","吉林省","吉林市","化学纤维制造业","新材料",TRUE,FALSE,FALSE,126.55302,43.843577
"920068.BJ","天工股份","北证","2025-05-13","江苏省","句容市","有色金属冶炼和压延加工业","新材料",TRUE,FALSE,TRUE,119.20708,31.932635
"920394.BJ","民士达","北证","2023-04-25","山东省","烟台市","纺织业","专精特新服务",TRUE,FALSE,FALSE,121.391382,37.539297
"920725.BJ","惠丰钻石","北证","2022-07-18","河南省","商丘市","非金属矿物制品业","新材料",TRUE,FALSE,FALSE,115.650497,34.437054
"920178.BJ","锐翔智能","北证","2026-05-15","广东省","珠海市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,113.552724,22.255899
"920599.BJ","同力股份","北证","2021-02-22","陕西省","西安市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,108.948024,34.263161
"920799.BJ","艾融软件","北证","2020-07-27","上海","上海市","软件和信息技术服务业","数字经济",TRUE,TRUE,TRUE,121.472644,31.231706
"920029.BJ","开发科技","北证","2025-03-28","四川省","成都市","仪器仪表制造业","高端制造",TRUE,TRUE,TRUE,104.065735,30.659462
