"industry","industry_group","strategic_sector","display_order"
"计算机、通信和其他电子设备制造业","信息技术","数字经济",1
"通用设备制造业","先进制造","高端制造",3
"医药制造业","医药健康","生命健康",10
"非金属矿物制品业","基础材料","新材料",11
"软件和信息技术服务业","信息技术","数字经济",2
"专用设备制造业","先进制造","高端制造",4
"有色金属冶炼和压延加工业","基础材料","新材料",12
"纺织业","消费服务","专精特新服务",19
"化学纤维制造业","基础材料","新材料",13
"化学原料和化学制品制造业","基础材料","新材料",14
"仪器仪表制造业","先进制造","高端制造",5
"电气机械和器材制造业","先进制造","高端制造",6
"水上运输业","绿色低碳","绿色低碳",16
"开采专业及辅助性活动","其他","专精特新服务",27
"金属制品业","先进制造","高端制造",7
"汽车制造业","先进制造","高端制造",8
"批发业","其他","专精特新服务",28
"橡胶和塑料制品业","基础材料","新材料",15
"专业技术服务业","消费服务","专精特新服务",20
"电信、广播电视和卫星传输服务","消费服务","专精特新服务",21
"燃气生产和供应业","绿色低碳","绿色低碳",17
"印刷和记录媒介复制业","其他","专精特新服务",29
"食品制造业","消费服务","专精特新服务",22
"农业","其他","专精特新服务",30
"农、林、牧、渔专业及辅助性活动","其他","专精特新服务",31
"农副食品加工业","消费服务","专精特新服务",23
"商务服务业","消费服务","专精特新服务",24
"铁路、船舶、航空航天和其他运输设备制造业","先进制造","高端制造",9
"畜牧业","其他","专精特新服务",32
"造纸和纸制品业","其他","专精特新服务",33
"土木工程建筑业","其他","专精特新服务",34
"生态保护和环境治理业","绿色低碳","绿色低碳",18
"多式联运和运输代理业","其他","专精特新服务",35
"家具制造业","消费服务","专精特新服务",25
"零售业","消费服务","专精特新服务",26
"公共设施管理业","其他","专精特新服务",36
"酒、饮料和精制茶制造业","其他","专精特新服务",37
