"period","company_code","revenue_yi","net_profit_yi","deduct_net_profit_yi","roe","gross_margin","net_margin","operating_cashflow_yi","r_and_d_expense_yi","r_and_d_ratio"
"2022-12","920045.BJ",80.8779,6.4706,4.9405,0.04651,0.337751,0.080004,12.1293,7.8176,0.09666
"2023-12","920045.BJ",99.1296,9.4484,9.0399,0.08071,0.358252,0.095313,13.2851,9.5183,0.096019
"2024-12","920045.BJ",112.6824,12.7994,11.7679,0.115488,0.346668,0.113588,7.8589,9.1176,0.080915
"2025-12","920045.BJ",140.5593,13.7038,9.8466,0.068145,0.328321,0.097495,18.0018,10.5444,0.075018
"2026-06","920045.BJ",183.9511,20.3748,18.902,0.099616,0.399776,0.110762,30.222,18.2761,0.099353
"2022-12","920185.BJ",78.7748,7.812,6.2719,0.175191,0.321411,0.099169,11.3836,8.05,0.10219
"2023-12","920185.BJ",79.7778,8.0369,5.8525,0.162432,0.274043,0.100741,10.4976,8.6602,0.108554
"2024-12","920185.BJ",76.6374,4.8406,3.4764,0.093933,0.182763,0.063162,7.0439,8.9694,0.117037
"2025-12","920185.BJ",86.424,10.9775,8.3604,0.198404,0.27188,0.127019,8.1006,9.6966,0.112198
"2026-06","920185.BJ",78.8048,7.641,6.7036,0.153107,0.179997,0.096961,6.9684,6.9066,0.087642
"2022-12","920438.BJ",53.1015,4.7733,4.1782,0.091096,0.221122,0.08989,4.4531,3.2621,0.061431
"2023-12","920438.BJ",60.457,4.1931,3.0542,0.10705,0.252232,0.069357,6.5765,3.5293,0.058377
"2024-12","920438.BJ",72.8113,3.0668,1.9159,0.024742,0.270787,0.042119,5.2912,4.8044,0.065985
"2025-12","920438.BJ",75.9952,5.4065,3.5831,0.087309,0.3001,0.071142,5.9503,5.6544,0.074405
"2026-06","920438.BJ",92.4747,6.8981,5.993,0.109586,0.201954,0.074594,3.5521,5.4934,0.059404
"2022-12","920186.BJ",91.5464,-1.4781,-2.1292,-0.054531,0.303049,-0.016146,0.0719,5.4134,0.059133
"2023-12","920186.BJ",93.5595,-0.6677,-1.5994,0.024648,0.419772,-0.007137,-4.0701,5.1418,0.054957
"2024-12","920186.BJ",90.2918,-1.3484,-1.6477,-0.054285,0.269432,-0.014934,2.5504,4.743,0.05253
