"period","company_code","total_market_cap_yi","float_market_cap_yi","turnover_amount_yi","turnover_rate","pe","pb"
"2022-12","920045.BJ",245.6965,55.7901,29.779,0.024262,103.76,1.4863
"2023-12","920045.BJ",294.5032,64.1107,32.087,0.02275,104.6563,2.0465
"2024-12","920045.BJ",369.4356,83.4655,39.9873,0.021777,154.3846,2.3063
"2025-12","920045.BJ",391.108,82.0405,52.2896,0.028971,163.3029,1.7071
"2026-06","920045.BJ",452.1022,102.4388,52.2165,0.02317,125.3507,1.837
"2022-12","920185.BJ",217.9957,55.9105,32.1869,0.026168,36.1408,3.3346
"2023-12","920185.BJ",262.0782,67.104,33.6527,0.022795,32.9028,2.8679
"2024-12","920185.BJ",278.9937,73.2444,34.2647,0.021264,31.0746,1.6464
"2025-12","920185.BJ",298.4307,83.3287,36.9036,0.02013,33.9555,3.0531
"2026-06","920185.BJ",333.5724,89.6368,50.0453,0.025378,38.8187,1.8745
"2022-12","920186.BJ",118.2538,61.8118,37.1429,0.027314,16.7241,2.5702
"2023-12","920186.BJ",146.1814,78.7441,39.4862,0.022793,24.0465,2.4776
"2024-12","920186.BJ",173.8242,88.424,43.1825,0.022198,20.196,1.9987
"2025-12","920186.BJ",201.0549,101.5372,66.6076,0.029818,16.7433,1.9515
"2026-06","920186.BJ",191.1431,103.0991,54.0404,0.023825,22.1361,2.2584
"2022-12","920982.BJ",128.0056,46.8717,26.5325,0.02573,64.8741,0.6067
"2023-12","920982.BJ",135.8621,53.3921,26.7302,0.022756,46.3609,1.9711
"2024-12","920982.BJ",156.0062,61.3582,29.7877,0.022067,53.6398,1.1504
"2025-12","920982.BJ",169.9306,61.5075,32.0818,0.023709,30,0.6813
"2026-06","920982.BJ",183.3608,73.2036,37.5238,0.0233,60.192,1.0599
"2022-12","920808.BJ",95.2935,24.7264,14.02,0.025773,40.9146,1.0438
"2023-12","920808.BJ",133.1311,37.5468,21.7668,0.026351,49.1599,1.8632
"2024-12","920808.BJ",147.8738,40.9533,26.4021,0.029304,41.8994,2.9319
"2025-12","920808.BJ",153.3575,40.2043,25.5018,0.028832,40.3542,2.5516
"2026-06","920808.BJ",165.806,44.7116,25.207,0.025626,47.0774,2.6102
"2022-12","920438.BJ",115.4664,65.2001,25.0538,0.017466,70.9094,0.7719
"2023-12","920438.BJ",117.1476,70.9176,22.5558,0.014457,58.9958,0.8211
"2024-12","920438.BJ",149.8453,88.7425,32.715,0.016757,53.8792,0.9486
"2025-12","920438.BJ",153.1586,85.2645,43.4751,0.023177,59.9625,0.7445
"2026-06","920438.BJ",153.8758,92.7703,48.9382,0.023978,62.6045,1.7681
"2022-12","920116.BJ",68.1887,21.2407,10.6649,0.022823,110.6176,1.5063
"2023-12","920116.BJ",101.2553,28.8902,11.4068,0.017947,161.8746,1.7917
"2024-12","920116.BJ",122.3321,34.7675,19.2179,0.025125,120.0691,2.163
"2025-12","920116.BJ",131.5387,37.5329,20.9655,0.02539,147.1731,1.8085
"2026-06","920116.BJ",145.4297,43.9406,27.1941,0.028131,126.2095,1.9599
"2022-12","920125.BJ",92.2763,26.7814,16.3994,0.027834,180,2.5129
"2023-12","920125.BJ",96.8037,27.9625,15.9131,0.025868,145.47,2.6654
"2024-12","920125.BJ",105.1973,32.5124,16.3159,0.022811,173.7205,1.7288
"2025-12","920125.BJ",119.2688,37.0037,21.8157,0.026798,180,3.1567
"2026-06","920125.BJ",145.9116,41.8292,20.4059,0.022175,164.7206,1.7957
"2022-12","920068.BJ",71.4602,16.1444,6.4068,0.018038,116.0127,0.4611
"2023-12","920068.BJ",87.244,20.0638,10.8936,0.024679,191.3578,1.1971
"2024-12","920068.BJ",104.8272,22.4324,10.384,0.021041,188.1029,0.35
"2025-12","920068.BJ",126.1184,28.8035,13.4661,0.021251,127.9488,0.5228
"2026-06","920068.BJ",118.7943,24.5697,10.9357,0.020231,165.6629,0.7564
"2022-12","920178.BJ",51.3779,11.5952,5.5301,0.021679,88.6471,2.5278
"2023-12","920178.BJ",65.3396,15.0917,8.3851,0.025255,90.2617,1.3208
"2024-12","920178.BJ",78.4424,16.5239,9.9945,0.027493,89.7025,3.0232
"2025-12","920178.BJ",107.9108,24.2411,13.9433,0.026145,78.4381,1.6918
"2026-06","920178.BJ",90.0027,20.5715,10.7046,0.023653,80.4874,2.6335
"2022-12","920394.BJ",68.3429,23.6152,11.8887,0.022883,114.1012,0.35
"2023-12","920394.BJ",70.8895,23.5161,9.9637,0.019259,122.9068,0.35
"2024-12","920394.BJ",86.2381,27.9439,14.5985,0.023747,130.9925,0.7101
"2025-12","920394.BJ",87.2043,29.8502,14.9078,0.022701,88.7502,0.35
"2026-06","920394.BJ",101.1559,31.9861,15.2339,0.021648,143.003,0.35
"2022-12","920077.BJ",61.7778,24.6493,11.9123,0.021967,70.0794,0.35
"2023-12","920077.BJ",76.0213,32.6298,14.4478,0.020126,74.6854,0.5522
"2024-12","920077.BJ",80.3836,31.1415,13.2812,0.019385,57.4766,0.7019
"2025-12","920077.BJ",97.9172,39.2583,18.0226,0.020867,50.8252,0.35
"2026-06","920077.BJ",98.9266,39.7218,21.7486,0.024887,96.9544,0.35
"2022-12","920493.BJ",47.2303,24.9633,14.4476,0.026307,48.1693,2.2609
"2023-12","920493.BJ",59.0542,32.9033,16.4613,0.022741,41.1328,3.0855
"2024-12","920493.BJ",70.3225,36.0742,22.5829,0.028455,37.8727,1.4317
"2025-12","920493.BJ",83.9204,43.5466,25.7904,0.02692,40.2598,1.9402
"2026-06","920493.BJ",76.3324,41.7081,25.7676,0.028082,41.0369,2.3977
"2022-12","920725.BJ",51.3625,15.3293,7.0034,0.020766,42.128,1.5449
"2023-12","920725.BJ",61.7681,19.0907,8.3142,0.019796,45.421,2.0662
"2024-12","920725.BJ",60.3079,16.8307,9.2159,0.024889,42.6366,1.6063
"2025-12","920725.BJ",78.9627,22.0345,11.5173,0.023759,37.7526,1.2784
"2026-06","920725.BJ",78.5866,24.3723,12.7739,0.023823,48.0645,1.583
"2022-12","920599.BJ",43.5201,22.7269,10.8645,0.021729,30,0.35
"2023-12","920599.BJ",62.3951,29.801,15.7582,0.024035,30,0.35
"2024-12","920599.BJ",59.8496,31.0949,14.7294,0.021531,30,0.35
"2025-12","920599.BJ",75.9201,39.7365,19.5132,0.022321,30,0.35
"2026-06","920599.BJ",68.7055,35.9505,17.3593,0.021948,30,0.35
"2022-12","920015.BJ",53.5287,16.017,7.6649,0.021752,62.7057,0.4767
"2023-12","920015.BJ",61.4328,18.9039,7.1774,0.017258,82.724,0.35
"2024-12","920015.BJ",62.6647,17.7998,8.8434,0.022583,61.7536,0.35
"2025-12","920015.BJ",82.8168,24.7461,13.3639,0.024547,65.2099,0.8743
"2026-06","920015.BJ",72.7216,21.8411,9.9184,0.020642,59.2768,0.5946
"2022-12","920368.BJ",43.7158,27.2708,15.3399,0.025568,48.1966,1.6961
"2023-12","920368.BJ",54.3545,34.2034,16.8524,0.022396,40.2148,1.8486
"2024-12","920368.BJ",69.0911,42.7251,19.9493,0.021224,36.4369,1.2227
"2025-12","920368.BJ",79.3936,48.2506,25.5228,0.024044,48.3866,2.9406
"2026-06","920368.BJ",65.5879,39.728,28.5963,0.032718,40.5061,0.603
"2022-12","920029.BJ",44.2061,12.9553,7.879,0.027644,30,0.35
"2023-12","920029.BJ",46.3,12.8771,5.4477,0.01923,30,0.35
"2024-12","920029.BJ",61.8869,17.3799,8.9512,0.023411,30,0.35
"2025-12","920029.BJ",78.2985,21.3413,12.5959,0.026828,30,0.35
"2026-06","920029.BJ",82.0942,24.3187,13.0568,0.024405,30,0.35
"2022-12","920174.BJ",50.8516,11.2151,6.3499,0.025736,33.6336,2.1387
"2023-12","920174.BJ",58.0834,13.6199,5.7958,0.019343,26.6436,2.4389
"2024-12","920174.BJ",65.1811,15.2196,7.0001,0.020906,38.1754,1.9585
"2025-12","920174.BJ",82.5235,18.9073,10.4355,0.025088,40.9525,1.4814
"2026-06","920174.BJ",67.9681,14.935,8.1462,0.024793,34.3323,1.6462
"2022-12","920083.BJ",40.7439,9.0715,3.4729,0.017402,116.3002,1.464
"2023-12","920083.BJ",45.6796,10.0114,4.2039,0.019087,98.801,2.1614
"2024-12","920083.BJ",55.4737,12.79,4.837,0.01719,86.9743,2.0173
"2025-12","920083.BJ",70.0493,16.2666,7.5066,0.020976,91.3731,2.3084
"2026-06","920083.BJ",67.3584,15.82,7.8171,0.02246,101.8443,2.7582
"2022-12","920576.BJ",43.6104,10.3511,5.7621,0.025303,66.9704,0.35
"2023-12","920576.BJ",53.3027,13.649,4.8308,0.016088,73.2481,0.5287
"2024-12","920576.BJ",53.7253,13.1609,4.9817,0.017206,68.2902,0.35
"2025-12","920576.BJ",67.6187,17.2502,8.4227,0.022194,65.5135,1.2904
"2026-06","920576.BJ",58.7875,15.3627,6.371,0.01885,54.2277,0.6128
"2022-12","920640.BJ",34.0996,17.4614,8.1195,0.021136,72.2438,0.8522
"2023-12","920640.BJ",43.8216,22.0633,10.7572,0.022162,86.7586,1.5228
"2024-12","920640.BJ",56.8572,29.6484,13.6438,0.020918,63.9655,0.9247
"2025-12","920640.BJ",54.1441,25.3013,10.8067,0.019415,167.1982,1.8184
"2026-06","920640.BJ",57.8986,27.861,15.6007,0.025452,64.1354,1.6989
"2022-12","920799.BJ",36.4134,13.1505,7.9616,0.027519,170.6783,1.7724
"2023-12","920799.BJ",38.2265,13.9236,6.5168,0.021275,165.4332,2.109
"2024-12","920799.BJ",54.5084,19.5186,10.1366,0.023606,220,0.9244
"2025-12","920799.BJ",51.3739,18.9116,8.8565,0.021287,196.104,0.7316
"2026-06","920799.BJ",66.239,23.3639,13.8543,0.026954,164.7123,1.6107
"2022-12","920522.BJ",33.7591,22.1116,10.5376,0.021662,140.5154,1.2222
"2023-12","920522.BJ",49.3236,30.0256,13.9747,0.021156,220,1.4593
"2024-12","920522.BJ",53.7752,35.618,21.4419,0.027363,151.5972,0.8446
"2025-12","920522.BJ",62.6393,39.1999,20.0485,0.023247,205.9203,0.3645
"2026-06","920522.BJ",57.4548,36.5156,21.7911,0.027125,220,0.5686
"2022-12","920593.BJ",37.2737,16.0368,9.0893,0.025763,180,1.782
"2023-12","920593.BJ",47.2183,20.8561,9.0657,0.019758,180,2.4878
"2024-12","920593.BJ",49.0831,22.6284,13.1716,0.026458,180,1.564
"2025-12","920593.BJ",55.0559,24.0156,12.7951,0.024217,180,1.6773
"2026-06","920593.BJ",58.1613,24.1147,11.7632,0.022173,180,1.4279
"2022-12","920161.BJ",37.776,10.8206,6.0937,0.025598,73.1283,2.6838
"2023-12","920161.BJ",41.3088,11.3769,5.851,0.023377,67.5709,1.534
"2024-12","920161.BJ",54.2955,13.964,5.648,0.018385,73.1398,3.2119
"2025-12","920161.BJ",53.5105,13.649,8.0558,0.026828,62.3447,2.4584
"2026-06","920161.BJ",61.3211,15.9463,9.7032,0.027659,66.9941,2.2361
"2022-12","920179.BJ",31.1735,18.148,6.9302,0.017358,31.2827,0.9438
"2023-12","920179.BJ",41.1996,24.2663,7.6931,0.01441,42.4723,1.0903
"2024-12","920179.BJ",47.0919,29.11,16.0325,0.025034,46.6157,1.6524
"2025-12","920179.BJ",61.4202,35.8434,16.7454,0.021236,32.1967,0.35
"2026-06","920179.BJ",60.28,35.161,14.714,0.019022,30.7025,1.5258
"2022-12","920037.BJ",34.8871,11.6535,6.7494,0.026326,28.2505,2.6347
"2023-12","920037.BJ",40.7402,13.6193,8.2671,0.027591,26.3724,2.742
"2024-12","920037.BJ",49.9318,16.6343,8.8366,0.024147,22.6275,3.7246
"2025-12","920037.BJ",57.7562,17.8858,10.7987,0.027443,23.3394,1.8009
"2026-06","920037.BJ",54.3297,17.3467,8.8163,0.023102,29.7312,1.4918
"2022-12","920156.BJ",39.561,8.9827,6.6132,0.033464,31.2285,1.8698
"2023-12","920156.BJ",38.3447,8.2968,4.6551,0.025503,44.3728,1.5909
"2024-12","920156.BJ",43.5784,9.9565,5.4067,0.024683,35.668,1.192
"2025-12","920156.BJ",54.7656,11.5792,5.4823,0.021521,30.186,1.6707
"2026-06","920156.BJ",60.9742,12.9395,5.5639,0.019545,42.1581,1.2141
"2022-12","920206.BJ",43.7617,9.0813,4.4696,0.022371,39.976,1.9578
"2023-12","920206.BJ",41.7217,9.4926,4.245,0.020327,35.7403,1.3997
"2024-12","920206.BJ",49.2751,10.3792,3.8926,0.017047,39.6488,1.6377
"2025-12","920206.BJ",63.3517,14.3544,5.3716,0.01701,40.2704,2.1802
"2026-06","920206.BJ",51.1466,10.6049,5.4494,0.023357,48.5052,1.8309
