"company_code","company_name","board","listing_date","industry","city","total_market_cap_yi","float_market_cap_yi","pe","is_current_year_new","market_cap_rank","is_top10_market_cap"
"920045.BJ","蘅东光","北证","2025-12-31","计算机、通信和其他电子设备制造业","深圳市",460.9125,104.0197,139.9828,FALSE,1,TRUE
"920185.BJ","贝特瑞","北证","2020-07-27","计算机、通信和其他电子设备制造业","深圳市",308.4496,81.8381,35.89,FALSE,2,TRUE
"920186.BJ","中科仪","北证","2026-04-29","通用设备制造业","沈阳市",233.6433,122.2037,23.3896,TRUE,3,TRUE
"920438.BJ","戈碧迦","北证","2024-03-25","非金属矿物制品业","宜昌市",204.8288,120.5424,633.7314,FALSE,4,TRUE
"920808.BJ","曙光数创","北证","2022-11-18","通用设备制造业","北京市",165.92,44.2397,802.5188,FALSE,5,TRUE
"920982.BJ","锦波生物","北证","2023-07-20","医药制造业","太原市",163.2202,62.8064,26.1548,FALSE,6,TRUE
"920116.BJ","星图测控","北证","2025-01-02","软件和信息技术服务业","合肥市",139.2663,41.7774,137.1425,FALSE,7,TRUE
"920125.BJ","鸿仕达","北证","2026-04-24","专用设备制造业","昆山市",123.3274,36.1935,169.7662,TRUE,8,TRUE
"920178.BJ","锐翔智能","北证","2026-05-15","专用设备制造业","珠海市",111.4353,22.9262,85.2749,TRUE,9,TRUE
"920068.BJ","天工股份","北证","2025-05-13","有色金属冶炼和压延加工业","句容市",110.6653,11.544,121.1573,FALSE,10,TRUE
"920077.BJ","吉林碳谷","北证","2021-08-31","化学纤维制造业","吉林市",103.5495,42.642,52.7597,FALSE,11,FALSE
"920725.BJ","惠丰钻石","北证","2022-07-18","非金属矿物制品业","商丘市",101.0688,29.6249,-717.2015,FALSE,12,FALSE
"920394.BJ","民士达","北证","2023-04-25","纺织业","烟台市",91.1576,30.1134,71.5548,FALSE,13,FALSE
"920599.BJ","同力股份","北证","2021-02-22","专用设备制造业","西安市",75.9929,38.3398,9.0379,FALSE,14,FALSE
"920493.BJ","并行科技","北证","2023-11-01","软件和信息技术服务业","北京市",75.061,40.8102,371.0384,FALSE,15,FALSE
"920174.BJ","五新智能","北证","2021-08-20","专用设备制造业","长沙市",72.7716,16.1488,32.2661,FALSE,16,FALSE
"920799.BJ","艾融软件","北证","2020-07-27","软件和信息技术服务业","上海市",72.0297,26.5714,167.5456,FALSE,17,FALSE
"920015.BJ","锦华新材","北证","2025-09-25","化学原料和化学制品制造业","衢州市",70.942,20.9385,40.9034,FALSE,18,FALSE
"920368.BJ","连城数控","北证","2020-07-27","专用设备制造业","大连市",70.5046,42.1909,406.4111,FALSE,19,FALSE
"920029.BJ","开发科技","北证","2025-03-28","仪器仪表制造业","成都市",70.2151,20.165,12.6037,FALSE,20,FALSE
"920576.BJ","天力复合","北证","2023-07-12","有色金属冶炼和压延加工业","西安市",63.812,16.0735,514.8749,FALSE,21,FALSE
"920640.BJ","富士达","北证","2020-07-27","计算机、通信和其他电子设备制造业","西安市",61.5748,30.5258,78.9427,FALSE,22,FALSE
"920522.BJ","纳科诺尔","北证","2023-11-16","专用设备制造业","邢台市",60.0637,38.2356,129.1118,FALSE,23,FALSE
"920083.BJ","金戈新材","北证","2026-06-11","非金属矿物制品业","佛山市",58.8375,13.2409,93.1781,TRUE,24,FALSE
"920179.BJ","凯德石英","北证","2022-03-04","非金属矿物制品业","北京市",57.7719,33.8307,303.9246,FALSE,25,FALSE
"920119.BJ","美德乐","北证","2026-01-30","通用设备制造业","大连市",57.3524,15.0903,20.5748,TRUE,26,FALSE
"920047.BJ","诺思兰德","北证","2020-11-24","医药制造业","北京市",57.1309,34.2809,-98.6893,FALSE,27,FALSE
"920809.BJ","安达科技","北证","2023-03-23","计算机、通信和其他电子设备制造业","贵阳市",56.2508,43.1974,-44.2953,FALSE,28,FALSE
"920156.BJ","海昌智能","北证","2026-04-27","专用设备制造业","鹤壁市",56.2248,11.7223,26.314,TRUE,29,FALSE
"920402.BJ","硅烷科技","北证","2022-09-28","化学原料和化学制品制造业","许昌市",56.2184,18.0467,-41.583,FALSE,30,FALSE
"920571.BJ","国航远洋","北证","2022-12-15","水上运输业","福州市",55.5407,23.2078,76.7031,FALSE,31,FALSE
"920593.BJ","鼎智科技","北证","2023-04-13","电气机械和器材制造业","常州市",55.1142,24.1577,226.432,FALSE,32,FALSE
"920509.BJ","同惠电子","北证","2021-01-11","仪器仪表制造业","常州市",54.9047,19.7132,77.8187,FALSE,33,FALSE
"920111.BJ","聚星科技","北证","2024-11-11","电气机械和器材制造业","温州市",54.6144,16.6778,29.0329,FALSE,34,FALSE
"920037.BJ","广信科技","北证","2025-06-26","电气机械和器材制造业","邵阳市",53.9338,17.4335,25.5217,FALSE,35,FALSE
"920161.BJ","龙辰科技","北证","2026-05-27","计算机、通信和其他电子设备制造业","黄冈市",52.8472,14.3389,60.7193,TRUE,36,FALSE
"920211.BJ","新睿电子","北证","2026-06-05","仪器仪表制造业","临海市",52.116,8.7264,92.8491,TRUE,37,FALSE
"920181.BJ","赛英电子","北证","2026-04-10","电气机械和器材制造业","江阴市",50.7168,11.7635,55.4029,TRUE,38,FALSE
"920139.BJ","华岭股份","北证","2022-10-28","计算机、通信和其他电子设备制造业","上海市",50.0745,27.1759,-85.0443,FALSE,39,FALSE
"920239.BJ","长虹能源","北证","2021-02-09","电气机械和器材制造业","绵阳市",46.9569,17.7244,18.2215,FALSE,40,FALSE
"920206.BJ","彩客科技","北证","2026-06-08","化学原料和化学制品制造业","沧州市",46.362,9.2378,33.9186,TRUE,41,FALSE
"920491.BJ","奥迪威","北证","2022-06-14","计算机、通信和其他电子设备制造业","广州市",45.2646,34.5135,53.7507,FALSE,42,FALSE
"920060.BJ","万源通","北证","2024-11-19","计算机、通信和其他电子设备制造业","昆山市",45.0356,21.6509,39.2497,FALSE,43,FALSE
"920510.BJ","丰光精密","北证","2020-12-28","通用设备制造业","胶州市",44.8973,15.6507,-317.0478,FALSE,44,FALSE
"920971.BJ","天马新材","北证","2022-09-27","计算机、通信和其他电子设备制造业","郑州市",44.2696,18.79,104.2297,FALSE,45,FALSE
"920100.BJ","三协电机","北证","2025-09-08","电气机械和器材制造业","常州市",42.3459,11.2278,71.0067,FALSE,46,FALSE
"920220.BJ","朗信电气","北证","2026-05-22","汽车制造业","张家港市",42.0277,7.565,31.0557,TRUE,47,FALSE
"920019.BJ","铜冠矿建","北证","2024-10-11","开采专业及辅助性活动","铜陵市",40.4763,11.2163,112.6858,FALSE,48,FALSE
"920078.BJ","族兴新材","北证","2026-03-18","化学原料和化学制品制造业","宁乡市",40.068,6.9117,49.744,TRUE,49,FALSE
"920946.BJ","森萱医药","北证","2020-07-27","医药制造业","南通市",39.9596,11.0507,26.729,FALSE,50,FALSE
"920261.BJ","一诺威","北证","2023-04-03","化学原料和化学制品制造业","淄博市",39.9434,14.1956,20.4847,FALSE,51,FALSE
"920978.BJ","开特股份","北证","2023-09-28","汽车制造业","武汉市",38.6701,20.32,23.3298,FALSE,52,FALSE
"920200.BJ","振宏股份","北证","2026-05-07","金属制品业","江阴市",38.0241,16.6118,26.1312,TRUE,53,FALSE
"920002.BJ","万达轴承","北证","2024-05-30","通用设备制造业","如皋市",37.7766,16.653,63.5404,FALSE,54,FALSE
"920096.BJ","嘉晨智能","北证","2026-05-18","仪器仪表制造业","郑州市",37.053,8.5383,52.0183,TRUE,55,FALSE
"920012.BJ","创达新材","北证","2026-04-13","计算机、通信和其他电子设备制造业","无锡市",36.5442,14.2995,55.3467,TRUE,56,FALSE
"920249.BJ","利尔达","北证","2023-02-17","批发业","杭州市",36.1337,10.5501,66.7725,FALSE,57,FALSE
"920819.BJ","颖泰生物","北证","2020-07-27","化学原料和化学制品制造业","北京市",35.5482,13.6704,-12.7395,FALSE,58,FALSE
"920418.BJ","苏轴股份","北证","2020-07-27","通用设备制造业","苏州市",34.594,18.3944,23.7263,FALSE,59,FALSE
"920020.BJ","泰凯英","北证","2025-10-28","橡胶和塑料制品业","青岛市",34.1467,8.4402,18.8237,FALSE,60,FALSE
"920839.BJ","万通液压","北证","2020-11-09","通用设备制造业","日照市",33.6189,9.2731,28.5761,FALSE,61,FALSE
"920699.BJ","海达尔","北证","2023-05-09","金属制品业","无锡市",32.8502,9.0902,60.5164,FALSE,62,FALSE
"920981.BJ","晶赛科技","北证","2021-11-15","计算机、通信和其他电子设备制造业","铜陵市",32.1777,10.6688,254.6202,FALSE,63,FALSE
"920339.BJ","恒太照明","北证","2022-11-17","电气机械和器材制造业","南通市",32.1718,7.9961,151.9852,FALSE,64,FALSE
"920009.BJ","丹娜生物","北证","2025-11-03","医药制造业","天津市",32.0963,4.1721,35.898,FALSE,65,FALSE
